Epoch 1: loss = 0.1665, accuracy = 0.9385, val_accuracy = 0.9798
Epoch 2: loss = 0.0557, accuracy = 0.9824, val_accuracy = 0.9851
Epoch 3: loss = 0.0415, accuracy = 0.9855, val_accuracy = 0.9859
Epoch 4: loss = 0.0352, accuracy = 0.9881, val_accuracy = 0.9903
Epoch 5: loss = 0.0263, accuracy = 0.9912, val_accuracy = 0.9912
Epoch 6: loss = 0.0209, accuracy = 0.9919, val_accuracy = 0.9842
Epoch 7: loss = 0.0243, accuracy = 0.9914, val_accuracy = 0.9921
Epoch 8: loss = 0.0213, accuracy = 0.9925, val_accuracy = 0.9947
Epoch 9: loss = 0.0174, accuracy = 0.9938, val_accuracy = 0.9947
Epoch 10: loss = 0.0161, accuracy = 0.9960, val_accuracy = 0.9947
Epoch 11: loss = 0.0138, accuracy = 0.9952, val_accuracy = 0.9930
Epoch 12: loss = 0.0140, accuracy = 0.9960, val_accuracy = 0.9938
Epoch 13: loss = 0.0134, accuracy = 0.9952, val_accuracy = 0.9947
Epoch 14: loss = 0.0118, accuracy = 0.9960, val_accuracy = 0.9938
Epoch 15: loss = 0.0130, accuracy = 0.9960, val_accuracy = 0.9938
Epoch 16: loss = 0.0084, accuracy = 0.9969, val_accuracy = 0.9965
Epoch 17: loss = 0.0100, accuracy = 0.9971, val_accuracy = 0.9947
Epoch 18: loss = 0.0087, accuracy = 0.9971, val_accuracy = 0.9974
Epoch 19: loss = 0.0057, accuracy = 0.9985, val_accuracy = 0.9947
Epoch 20: loss = 0.0065, accuracy = 0.9978, val_accuracy = 0.9938
Epoch 21: loss = 0.0050, accuracy = 0.9976, val_accuracy = 0.9947
Epoch 22: loss = 0.0133, accuracy = 0.9960, val_accuracy = 0.9947
Epoch 23: loss = 0.0080, accuracy = 0.9978, val_accuracy = 0.9956
Epoch 24: loss = 0.0077, accuracy = 0.9974, val_accuracy = 0.9956
Epoch 25: loss = 0.0045, accuracy = 0.9989, val_accuracy = 0.9947
Epoch 26: loss = 0.0046, accuracy = 0.9987, val_accuracy = 0.9947
Epoch 27: loss = 0.0023, accuracy = 0.9993, val_accuracy = 0.9956
Epoch 28: loss = 0.0057, accuracy = 0.9989, val_accuracy = 0.9947
Epoch 29: loss = 0.0029, accuracy = 0.9991, val_accuracy = 0.9956
Epoch 30: loss = 0.0088, accuracy = 0.9976, val_accuracy = 0.9956
Epoch 31: loss = 0.0060, accuracy = 0.9980, val_accuracy = 0.9965
Epoch 32: loss = 0.0038, accuracy = 0.9987, val_accuracy = 0.9956
Epoch 33: loss = 0.0016, accuracy = 0.9996, val_accuracy = 0.9956
Epoch 34: loss = 0.0039, accuracy = 0.9993, val_accuracy = 0.9982
Epoch 35: loss = 0.0050, accuracy = 0.9980, val_accuracy = 0.9965
Epoch 36: loss = 0.0039, accuracy = 0.9989, val_accuracy = 0.9974
Epoch 37: loss = 0.0066, accuracy = 0.9989, val_accuracy = 0.9965
Epoch 38: loss = 0.0027, accuracy = 0.9993, val_accuracy = 0.9965
Epoch 39: loss = 0.0047, accuracy = 0.9987, val_accuracy = 0.9965
Epoch 40: loss = 0.0043, accuracy = 0.9991, val_accuracy = 0.9947
Epoch 41: loss = 0.0060, accuracy = 0.9985, val_accuracy = 0.9956
Epoch 42: loss = 0.0034, accuracy = 0.9991, val_accuracy = 0.9965
Epoch 43: loss = 0.0055, accuracy = 0.9978, val_accuracy = 0.9947
Epoch 44: loss = 0.0015, accuracy = 0.9993, val_accuracy = 0.9965
Epoch 45: loss = 0.0007, accuracy = 1.0000, val_accuracy = 0.9956
Epoch 46: loss = 0.0042, accuracy = 0.9991, val_accuracy = 0.9930
Epoch 47: loss = 0.0036, accuracy = 0.9987, val_accuracy = 0.9956
Epoch 48: loss = 0.0040, accuracy = 0.9985, val_accuracy = 0.9947
Epoch 49: loss = 0.0064, accuracy = 0.9987, val_accuracy = 0.9956
Epoch 50: loss = 0.0021, accuracy = 0.9993, val_accuracy = 0.9947
Training completed. Final Accuracy: 0.9947
